response,offset_task,prime,pause_trigger,offset_prime,duration_measured_task,correct_resp,task_trigger,ID,rt,duration_frames_task,delay_frames_after,trial_type,duration_measured_prime,prime_trigger,pause_trigger_t,delay_frames_before,onset_prime,task_type,onset_task,gender,age,trial_number,key_t,duration_frames_prime
l,4.681169099989347,no_prime,52,1.0139817000017501,2.9934728000080213,1,42,Group6,1.3942279000184499,180,118,none,0.029373900004429743,15,1.514341300004162,40,0.9846077999973204,2,1.6876962999813259,female,,1,3.0819241999997757,2
l,11.648105100000976,no_prime,52,6.681088899989845,2.995157500001369,1,42,Group6,0.6289347999845631,180,40,none,0.03141569998115301,15,7.18128789999173,118,6.649673200008692,2,8.652947599999607,female,,2,9.28188239998417,2
l,17.31498450000072,right,34,12.348110399994766,2.9952836000011303,1,24,Group6,0.5289066999976058,180,40,right,0.031610800011549145,14,12.84822250000434,118,12.316499599983217,2,14.319700899999589,female,,3,14.848607599997194,2
a,22.981824999995297,no_prime,51,18.014634199993452,2.9953659999882802,1,41,Group6,0.5458145999873523,180,40,none,0.03110180000658147,15,18.515004399989266,118,17.98353239998687,1,19.986459000007017,female,,4,20.53227359999437,2
l,27.348722700000508,red,32,23.68158800000674,2.995231800014153,1,22,Group6,0.5957194000075106,180,118,red,0.02635020000161603,12,24.18193190000602,40,23.655237800005125,2,24.353490899986355,female,,5,24.949210299993865,2
a,34.31558439999935,blue,31,29.34852959998534,2.9950577999989036,1,21,Group6,0.7455712000082713,180,40,blue,0.03142899999511428,11,29.84883780000382,118,29.317100599990226,1,31.32052660000045,female,,6,32.06609780000872,2
a,38.68298439998762,left,33,35.01562779999222,2.995132799987914,1,23,Group6,0.5616729999892414,180,118,left,0.03155990000232123,13,35.515827800001716,40,34.984067899989896,1,35.6878515999997,female,,7,36.249524599988945,2
l,45.64932490000501,red,32,40.68225879999227,2.9952943000243977,1,22,Group6,0.42911610001465306,180,40,red,0.03141759999562055,12,41.1826022999885,118,40.65084119999665,2,42.654030599980615,female,,8,43.08314669999527,2
l,51.316290299990214,right,34,46.34940320000169,2.9952960000082385,1,24,Group6,0.5458976000081748,180,40,right,0.03148309999960475,14,46.849382899992634,118,46.317920100002084,2,48.320994299981976,female,,9,48.86689189999015,2
a,56.98311790000298,left,33,52.01634509998257,2.9951646999979857,1,23,Group6,0.5290632999967784,180,40,left,0.031209299981128424,13,52.5164078999951,118,51.985135800001444,1,53.987953200004995,female,,10,54.51701650000177,2
