level_0,level_1,level_2,signal
0,0,0,1.6062242378360475e-06
0,0,1,3.2739161303105366e-06
0,0,2,6.741997740810702e-06
0,0,3,1.0690640351781848e-05
0,0,4,1.3514225630767277e-05
0,0,5,1.4860437880518849e-05
0,0,6,1.5377880710685707e-05
0,0,7,1.6018424014369753e-05
0,0,8,1.6671626029299584e-05
0,0,9,1.644939354219501e-05
0,1,0,4.982900719951289e-06
0,1,1,8.198285772160227e-06
0,1,2,1.099594390339693e-05
0,1,3,1.2144199171389624e-05
0,1,4,1.1650060506212493e-05
0,1,5,1.0945970442970772e-05
0,1,6,1.1212566627097375e-05
0,1,7,1.2559136853968898e-05
0,1,8,1.366651433628446e-05
0,1,9,1.3299881737025552e-05
1,0,0,4.107822012249521e-06
1,0,1,2.5252750141354274e-06
1,0,2,7.212438156937956e-07
1,0,3,-9.84243266544437e-07
1,0,4,-2.8975372037832575e-06
1,0,5,-5.455326472092627e-06
1,0,6,-8.131704210636453e-06
1,0,7,-9.941607425283377e-06
1,0,8,-1.0221947893547978e-05
1,0,9,-9.65964296325509e-06
1,1,0,7.506779477799749e-06
1,1,1,7.1506715513865865e-06
1,1,2,7.869619847893636e-06
1,1,3,9.985626241909356e-06
1,1,4,1.2128127308376165e-05
1,1,5,1.2502784561407333e-05
1,1,6,1.0465639362763825e-05
1,1,7,7.09663956174276e-06
1,1,8,4.072906146330291e-06
1,1,9,2.360855468105233e-06
2,0,0,1.0688345514716139e-05
2,0,1,1.271762467546574e-05
2,0,2,1.5118569943026747e-05
2,0,3,1.6887152993767004e-05
2,0,4,1.7099514916625092e-05
2,0,5,1.5631667571241667e-05
2,0,6,1.3163122835671494e-05
2,0,7,1.0632068164519116e-05
2,0,8,8.464024120871335e-06
2,0,9,6.575731192912625e-06
2,1,0,2.279871875865338e-06
2,1,1,3.794878705025705e-06
2,1,2,6.214388942513821e-06
2,1,3,9.132950208035485e-06
2,1,4,1.2175466144510969e-05
2,1,5,1.4553732979446393e-05
2,1,6,1.552884955747201e-05
2,1,7,1.4406659680424772e-05
2,1,8,1.1324593092960759e-05
2,1,9,7.009012292506355e-06
3,0,0,-4.692682138634066e-07
3,0,1,1.5568392204907044e-06
3,0,2,2.6013506090935405e-06
3,0,3,3.101439188698331e-06
3,0,4,3.368772063544348e-06
3,0,5,3.1955231428177743e-06
3,0,6,2.1591690123166923e-06
3,0,7,2.715758041172175e-07
3,0,8,-1.7235417801553086e-06
3,0,9,-2.7519278274554243e-06
3,1,0,-6.80071690241943e-06
3,1,1,-7.212718008461861e-06
3,1,2,-5.80042587447149e-06
3,1,3,-2.3091632445660526e-06
3,1,4,2.0667676234206012e-06
3,1,5,5.154102549972608e-06
3,1,6,5.492696518551691e-06
3,1,7,3.3088385445917174e-06
3,1,8,4.741130922119453e-07
3,1,9,-1.0472111327158081e-06
4,0,0,-1.4750230767884002e-06
4,0,1,-1.1458021788465181e-06
4,0,2,-5.822077214715056e-07
4,0,3,7.131211183912239e-07
4,0,4,2.3089025833806403e-06
4,0,5,3.177438386100357e-06
4,0,6,3.0007748584145652e-06
4,0,7,2.2547056113954533e-06
4,0,8,1.8138860739042766e-06
4,0,9,1.7260847273793586e-06
4,1,0,2.6560756337104454e-06
4,1,1,2.562440969980373e-06
4,1,2,4.1025302081978716e-06
4,1,3,6.48458236013848e-06
4,1,4,7.958938049704774e-06
4,1,5,7.311686313000488e-06
4,1,6,5.306854006400949e-06
4,1,7,3.700569560014747e-06
