level_0,level_1,level_2,signal
0,0,0,-1.0942001771830978e-06
0,0,1,5.721330666109025e-07
0,0,2,1.4684101407132688e-06
0,0,3,9.375158837067465e-07
0,0,4,-6.54876440175481e-07
0,0,5,-2.1795638856110365e-06
0,0,6,-2.5171823301584615e-06
0,0,7,-1.4324585422122258e-06
0,0,8,3.1904954105567195e-07
0,0,9,1.4906011751209092e-06
0,0,10,1.2633546436507478e-06
0,0,11,-3.033362918084656e-07
0,0,12,-2.328399057795186e-06
0,0,13,-3.8008515387201903e-06
0,0,14,-4.140006847437572e-06
0,0,15,-3.5152967553536848e-06
0,0,16,-2.540984534454301e-06
0,0,17,-1.864440519554585e-06
0,0,18,-1.7077323973166924e-06
0,0,19,-1.894006555659328e-06
0,0,20,-2.021616303975098e-06
0,0,21,-1.8475515664888775e-06
0,0,22,-1.3452173534824767e-06
0,0,23,-6.777344980073411e-07
0,0,24,5.3953397931738853e-08
0,0,25,7.903905615874089e-07
0,0,26,1.4876295830375263e-06
0,0,27,1.922083203218254e-06
0,0,28,1.8458026081513067e-06
0,0,29,1.1451041416525058e-06
0,0,30,1.1175097991411169e-07
0,0,31,-7.610820034365746e-07
0,0,32,-1.083155182410714e-06
0,0,33,-9.762880981684284e-07
0,0,34,-9.130361967974612e-07
0,0,35,-1.3482523373475178e-06
0,0,36,-2.192943098570303e-06
0,0,37,-2.9051574962050833e-06
0,0,38,-2.878105849190329e-06
0,0,39,-2.0667983643419792e-06
0,0,40,-9.908174581446956e-07
0,0,41,-3.834516121810076e-07
0,0,42,-5.202760426293049e-07
0,0,43,-1.1360371159870118e-06
0,0,44,-1.6708385622905722e-06
0,0,45,-1.868813733943756e-06
0,0,46,-1.853952226497452e-06
0,0,47,-1.954957981097351e-06
0,0,48,-2.2227532430566394e-06
0,0,49,-2.457942755673624e-06
0,0,50,-2.3916516867619254e-06
0,0,51,-2.113717377716189e-06
0,0,52,-1.9468501995081107e-06
0,0,53,-2.189678376340171e-06
0,0,54,-2.696517225722107e-06
0,0,55,-3.0517345749100228e-06
0,0,56,-2.847824040744625e-06
0,0,57,-2.117373182673911e-06
0,0,58,-1.156208799278215e-06
0,0,59,-2.8150264334921234e-07
0,0,60,5.534355833037702e-07
0,0,61,1.5488966031417672e-06
0,0,62,2.830472518666703e-06
0,0,63,4.1389034484489394e-06
0,0,64,5.10728867418749e-06
0,0,65,5.484723524079262e-06
0,0,66,5.3922304581158664e-06
0,0,67,5.012329058556132e-06
0,0,68,4.449006585575737e-06
0,0,69,3.636250821342703e-06
0,0,70,2.7587643173315827e-06
0,0,71,2.3164764915719845e-06
