level_0,level_1,level_2,signal
0,0,0,2.173388962190806e-06
0,0,1,3.324112962638779e-06
0,0,2,3.7466660263684164e-06
0,0,3,3.343059556548439e-06
0,0,4,2.199415426762445e-06
0,0,5,8.732051485881975e-07
0,0,6,2.673629563837263e-07
0,0,7,1.0454247031959659e-06
0,0,8,3.0728319419224843e-06
0,0,9,5.30037767643206e-06
0,0,10,6.483487328501228e-06
0,0,11,5.9498816858493775e-06
0,0,12,4.049326950138649e-06
0,0,13,1.6733915139564907e-06
0,0,14,-3.314920654076249e-07
0,0,15,-1.6803347785122283e-06
0,0,16,-2.499239636515578e-06
0,0,17,-3.0518844596391084e-06
0,0,18,-3.4221983297077682e-06
0,0,19,-3.5379602722659367e-06
0,0,20,-3.151742977605096e-06
0,0,21,-2.0366458860447944e-06
0,0,22,-1.63380618848194e-07
0,0,23,1.9602299581642066e-06
0,0,24,3.3600965753538016e-06
0,0,25,3.072498703058789e-06
0,0,26,9.82633278999368e-07
0,0,27,-1.8302584339716793e-06
0,0,28,-3.605016226233224e-06
0,0,29,-3.177064038075529e-06
0,0,30,-8.783067772948725e-07
0,0,31,1.664843718823976e-06
0,0,32,2.8165747118207577e-06
0,0,33,2.174644246796898e-06
0,0,34,6.718595259442248e-07
0,0,35,-4.929855168275704e-07
0,0,36,-1.0114216061730361e-06
0,0,37,-1.574309158780562e-06
0,0,38,-2.919218466402958e-06
0,0,39,-4.80770257015083e-06
0,0,40,-6.097252207743967e-06
0,0,41,-5.785170737712393e-06
0,0,42,-4.010867692808511e-06
0,0,43,-1.8702538278760023e-06
0,0,44,-3.9740035073101103e-07
0,0,45,2.930793969442791e-07
0,0,46,6.490503079785777e-07
0,0,47,7.843850770326434e-07
0,0,48,8.765446312839295e-08
0,0,49,-1.909653502741787e-06
0,0,50,-4.532316301499549e-06
0,0,51,-5.952342414751162e-06
0,0,52,-4.777835491295314e-06
0,0,53,-1.5311130710740655e-06
0,0,54,1.4014254911316629e-06
0,0,55,1.7925980767994829e-06
0,0,56,-5.480251356665064e-07
0,0,57,-3.5957804892980372e-06
0,0,58,-5.131656584196262e-06
0,0,59,-4.644980868855205e-06
0,0,60,-3.544813496844857e-06
0,0,61,-3.3034034041729324e-06
0,0,62,-3.923033058777012e-06
0,0,63,-4.007414887071249e-06
0,0,64,-2.6760352228340348e-06
0,0,65,-7.680174463377604e-07
0,0,66,-3.279450587552235e-07
0,0,67,-2.4323819523962314e-06
0,0,68,-6.006466081462294e-06
0,0,69,-8.484061380843613e-06
0,0,70,-8.171088969788907e-06
0,0,71,-5.558483545492157e-06
0,0,72,-2.918142352255785e-06
0,0,73,-2.161582083695394e-06
0,0,74,-3.4723693323860955e-06
0,0,75,-5.322045478529973e-06
