level_0,level_1,level_2,signal
0,0,0,4.081324429415343e-06
0,0,1,4.703312221917319e-06
0,0,2,5.3541273589162496e-06
0,0,3,5.899154800001043e-06
0,0,4,6.127241886487108e-06
0,0,5,5.836909345482055e-06
0,0,6,5.108906119589225e-06
0,0,7,4.1216587010505965e-06
0,0,8,3.249711201754751e-06
0,0,9,2.8707964220622015e-06
0,0,10,3.4069442843423297e-06
0,0,11,4.891433200228894e-06
0,0,12,6.894360661096656e-06
0,0,13,8.473298784180338e-06
0,0,14,8.920901878955241e-06
0,0,15,8.193129300922218e-06
0,0,16,7.129371185153664e-06
0,0,17,6.57185092465916e-06
0,0,18,6.736794703443268e-06
0,0,19,6.85243222712438e-06
0,0,20,6.066848890804295e-06
0,0,21,4.1548185145734765e-06
0,0,22,1.943053059071627e-06
0,0,23,4.1236954235160964e-07
0,0,24,3.087332391335488e-08
0,0,25,3.473931025761781e-07
0,0,26,7.933921669963975e-07
0,0,27,1.1176454957526435e-06
0,0,28,1.5848441998660628e-06
0,0,29,2.1848653303066685e-06
0,0,30,2.567287303520456e-06
0,0,31,2.2242686431513147e-06
0,0,32,1.4315040275084917e-06
0,0,33,1.0390905272510817e-06
0,0,34,1.9047784291686997e-06
0,0,35,3.7709167934578543e-06
0,0,36,5.612191755017328e-06
0,1,0,2.560091381332801e-06
0,1,1,1.8664368604547245e-06
0,1,2,1.2944577258243908e-06
0,1,3,1.0950345476349373e-06
0,1,4,1.1059443005431523e-06
0,1,5,1.1899704254542259e-06
0,1,6,1.2124796920627586e-06
0,1,7,1.1608152081123954e-06
0,1,8,9.150039795635393e-07
0,1,9,5.224061247273328e-07
0,1,10,1.5583108511522047e-07
0,1,11,2.452310391325821e-07
0,1,12,9.904759428790909e-07
0,1,13,2.2994807638266978e-06
0,1,14,3.658969271735761e-06
0,1,15,4.719503774435315e-06
0,1,16,5.404498086634062e-06
0,1,17,6.055465291149396e-06
0,1,18,6.8484486402712545e-06
0,1,19,7.736397789588536e-06
0,1,20,8.299762099325835e-06
0,1,21,8.2850850374078e-06
0,1,22,7.584103990900947e-06
0,1,23,6.432375180691482e-06
0,1,24,5.029783353536886e-06
0,1,25,3.7247097325468015e-06
