level_0,level_1,level_2,signal
0,0,0,3.7499518488759442e-06
0,0,1,3.362702459612152e-06
0,0,2,2.689600518412057e-06
0,0,3,1.84255898619857e-06
0,0,4,8.212490806321009e-07
0,0,5,-6.709010094637433e-07
0,0,6,-2.606586206371783e-06
0,0,7,-4.769543446076749e-06
0,0,8,-6.533514631014534e-06
0,0,9,-7.529491379830856e-06
0,0,10,-7.585127718152517e-06
0,0,11,-7.096701407383402e-06
0,0,12,-6.411581948711825e-06
0,0,13,-5.856470757819275e-06
0,0,14,-5.226876315316204e-06
0,0,15,-4.335944750928427e-06
0,0,16,-2.9715200514014066e-06
0,0,17,-1.498352616680685e-06
0,0,18,-3.5183027718120427e-07
0,0,19,-6.01388658063253e-08
0,0,20,-5.033852250994309e-07
0,0,21,-1.3065702854936237e-06
0,0,22,-1.765932965038742e-06
0,0,23,-1.7303851821913035e-06
0,0,24,-1.3609916298250814e-06
0,0,25,-1.357145194775027e-06
0,0,26,-2.040182910992695e-06
0,0,27,-3.4698820462386235e-06
0,0,28,-4.987853100575179e-06
0,0,29,-6.029120139629506e-06
0,0,30,-6.043714619427391e-06
0,0,31,-5.209033847990949e-06
0,0,32,-3.861997596027293e-06
0,0,33,-2.7599282886682562e-06
0,0,34,-2.2940834583880704e-06
0,0,35,-2.810056545094963e-06
0,0,36,-4.008991950907624e-06
0,1,0,5.023658816123884e-06
0,1,1,4.036291708080719e-06
0,1,2,3.16355294838254e-06
0,1,3,2.3932891410473973e-06
0,1,4,1.5037593808643517e-06
0,1,5,1.2207867894188625e-07
0,1,6,-1.8814851781155564e-06
0,1,7,-4.2605661927201395e-06
0,1,8,-6.287790259210991e-06
0,1,9,-7.226623818861301e-06
0,1,10,-6.7032896457264505e-06
0,1,11,-5.071487324213419e-06
0,1,12,-3.045634593854335e-06
0,1,13,-1.271747097085885e-06
0,1,14,2.0024854464361134e-07
0,1,15,1.6513120745504208e-06
0,1,16,3.3243345155514325e-06
0,1,17,4.910494390472685e-06
0,1,18,5.8175887673454535e-06
0,1,19,5.53834369451599e-06
0,1,20,4.217170561873101e-06
0,1,21,2.447105580443692e-06
0,1,22,9.831833414031968e-07
0,1,23,1.5453531662561235e-07
0,1,24,-1.0134780419364906e-07
0,1,25,-2.3607054014772045e-07
0,1,26,-6.624343412598356e-07
0,1,27,-1.7299708163990012e-06
0,1,28,-3.426375820834201e-06
0,1,29,-5.492197024054035e-06
0,1,30,-7.317606032203599e-06
0,1,31,-8.393892619574703e-06
0,1,32,-8.459452636634223e-06
0,1,33,-7.80739585744993e-06
0,1,34,-6.884700372028355e-06
0,1,35,-6.112533537950865e-06
0,1,36,-5.489733020971275e-06
0,2,0,-1.4116438006825517e-07
0,2,1,-8.95215011648545e-07
0,2,2,-4.006666134178174e-08
0,2,3,1.5072036373512892e-06
0,2,4,2.3040604335162476e-06
0,2,5,1.5780926567963158e-06
0,2,6,-1.6591253844882066e-07
0,2,7,-1.8164342961976755e-06
0,2,8,-2.5500154531795966e-06
0,2,9,-2.343623817430791e-06
0,2,10,-1.5507834408781814e-06
0,2,11,-4.646118737693549e-07
0,2,12,9.061473200257001e-07
0,2,13,2.4708208370447464e-06
0,2,14,3.969008744232486e-06
0,2,15,5.037228841074426e-06
0,2,16,5.636278085462235e-06
0,2,17,6.006715646812179e-06
0,2,18,6.465207212318959e-06
0,2,19,6.9364709940119965e-06
0,2,20,7.043483597408734e-06
0,2,21,6.3576889298605e-06
0,2,22,4.883376532242655e-06
0,2,23,3.0018342378589763e-06
0,2,24,1.3186521951909501e-06
0,2,25,2.0919185629045325e-07
0,2,26,-2.3187324477386136e-07
0,2,27,-2.50251177112764e-07
0,2,28,-1.2452873264944967e-07
0,2,29,-1.1045040247119629e-07
0,2,30,-2.316897996897802e-07
0,2,31,-4.629484534097604e-07
0,2,32,-7.159845260782188e-07
0,2,33,-1.0632536190499623e-06
0,2,34,-1.5763722565928062e-06
0,2,35,-2.350327521078512e-06
0,2,36,-3.289418649632202e-06
1,0,0,4.081324429415343e-06
1,0,1,4.703312221917319e-06
1,0,2,5.3541273589162496e-06
1,0,3,5.899154800001043e-06
1,0,4,6.127241886487108e-06
1,0,5,5.836909345482055e-06
1,0,6,5.108906119589225e-06
1,0,7,4.1216587010505965e-06
1,0,8,3.249711201754751e-06
1,0,9,2.8707964220622015e-06
1,0,10,3.4069442843423297e-06
1,0,11,4.891433200228894e-06
1,0,12,6.894360661096656e-06
1,0,13,8.473298784180338e-06
1,0,14,8.920901878955241e-06
1,0,15,8.193129300922218e-06
1,0,16,7.129371185153664e-06
1,0,17,6.57185092465916e-06
1,0,18,6.736794703443268e-06
1,0,19,6.85243222712438e-06
1,0,20,6.066848890804295e-06
1,0,21,4.1548185145734765e-06
1,0,22,1.943053059071627e-06
1,0,23,4.1236954235160964e-07
1,0,24,3.087332391335488e-08
1,0,25,3.473931025761781e-07
1,0,26,7.933921669963975e-07
1,0,27,1.1176454957526435e-06
1,0,28,1.5848441998660628e-06
1,0,29,2.1848653303066685e-06
1,0,30,2.567287303520456e-06
1,0,31,2.2242686431513147e-06
1,0,32,1.4315040275084917e-06
1,0,33,1.0390905272510817e-06
1,0,34,1.9047784291686997e-06
1,0,35,3.7709167934578543e-06
1,0,36,5.612191755017328e-06
1,1,0,2.560091381332801e-06
1,1,1,1.8664368604547245e-06
1,1,2,1.2944577258243908e-06
1,1,3,1.0950345476349373e-06
1,1,4,1.1059443005431523e-06
1,1,5,1.1899704254542259e-06
1,1,6,1.2124796920627586e-06
1,1,7,1.1608152081123954e-06
1,1,8,9.150039795635393e-07
1,1,9,5.224061247273328e-07
1,1,10,1.5583108511522047e-07
1,1,11,2.452310391325821e-07
1,1,12,9.904759428790909e-07
1,1,13,2.2994807638266978e-06
1,1,14,3.658969271735761e-06
1,1,15,4.719503774435315e-06
1,1,16,5.404498086634062e-06
1,1,17,6.055465291149396e-06
1,1,18,6.8484486402712545e-06
1,1,19,7.736397789588536e-06
1,1,20,8.299762099325835e-06
1,1,21,8.2850850374078e-06
1,1,22,7.584103990900947e-06
1,1,23,6.432375180691482e-06
1,1,24,5.029783353536886e-06
1,1,25,3.7247097325468015e-06
1,1,26,2.7745784295427187e-06
1,1,27,2.5044863296293474e-06
1,1,28,2.8339582481126592e-06
1,1,29,3.4330635173749323e-06
1,1,30,3.7319394879378666e-06
1,1,31,3.674253148527862e-06
1,1,32,3.6490172167627836e-06
1,1,33,4.35338413019585e-06
1,1,34,5.8001060961295815e-06
1,1,35,7.331748311229023e-06
1,1,36,7.8723250489749e-06
1,2,0,-4.174590929684652e-06
1,2,1,-6.457614750435422e-06
1,2,2,-7.584790841309961e-06
1,2,3,-6.932240752192075e-06
1,2,4,-4.753999817593951e-06
1,2,5,-2.290687405121045e-06
1,2,6,-1.008276118700083e-06
1,2,7,-1.579652440233099e-06
1,2,8,-3.3072691205109517e-06
1,2,9,-4.6724297831616135e-06
1,2,10,-4.476298702993224e-06
1,2,11,-2.7641654426480144e-06
1,2,12,-5.973987388531721e-07
1,2,13,9.11286328965175e-07
1,2,14,1.5639383724406488e-06
1,2,15,2.0166062613862564e-06
1,2,16,2.950467067731053e-06
1,2,17,4.20241964898418e-06
1,2,18,4.886648894228396e-06
1,2,19,4.2695814681363315e-06
1,2,20,2.638447261441178e-06
1,2,21,1.1153323778431563e-06
1,2,22,6.469916212157028e-07
1,2,23,1.0320176596984102e-06
1,2,24,1.1235551195644137e-06
1,2,25,-4.730905870938987e-08
1,2,26,-2.159559549347453e-06
1,2,27,-3.7413960501899346e-06
1,2,28,-3.424033690043295e-06
1,2,29,-1.2671588781460111e-06
1,2,30,1.229573190489943e-06
1,2,31,2.362788690072129e-06
1,2,32,1.722430559512124e-06
1,2,33,4.5272741537472563e-07
1,2,34,2.0887753491683678e-07
1,2,35,1.6677273627683869e-06
1,2,36,4.028600293172154e-06
2,0,0,8.104978162729785e-06
2,0,1,8.906095304989743e-06
2,0,2,9.707528951410633e-06
2,0,3,1.0575782810768599e-05
2,0,4,1.1324389366144526e-05
2,0,5,1.151637715218778e-05
2,0,6,1.0746072235691504e-05
2,0,7,9.057753184972376e-06
2,0,8,6.982206936660511e-06
2,0,9,5.2009564435252006e-06
2,0,10,4.037090244440774e-06
2,0,11,3.355472340423201e-06
2,0,12,2.8124434230258633e-06
2,0,13,2.31203124520136e-06
2,0,14,2.0809650178257747e-06
2,0,15,2.4060635400209726e-06
2,0,16,3.2007807498681277e-06
2,0,17,3.977039218770924e-06
2,0,18,4.186096037833519e-06
2,0,19,3.754645569202796e-06
2,0,20,3.1422489441707566e-06
2,0,21,2.982857994421597e-06
2,0,22,3.473799058078587e-06
2,0,23,4.241855339840692e-06
2,0,24,4.681795395942149e-06
2,0,25,4.600647003259837e-06
2,0,26,4.36381530698486e-06
2,0,27,4.549606523633658e-06
2,0,28,5.2604628637595145e-06
2,0,29,5.961160147915185e-06
2,0,30,5.888151732935036e-06
2,0,31,4.827393858333398e-06
2,0,32,3.3141012448124766e-06
2,0,33,2.224945307219517e-06
2,0,34,1.9339159113635813e-06
2,0,35,2.0561405414699094e-06
2,0,36,1.8248744071558957e-06
2,1,0,4.500417411449996e-06
2,1,1,4.247991154988164e-06
2,1,2,4.598881492118447e-06
2,1,3,5.227572260672371e-06
2,1,4,5.606528877121825e-06
2,1,5,5.245544240045088e-06
2,1,6,4.280860657797912e-06
2,1,7,3.055054594418847e-06
2,1,8,1.9957513656649006e-06
2,1,9,1.0952144456896287e-06
2,1,10,3.6148017527238253e-07
2,1,11,-1.8855418201316904e-07
2,1,12,-1.705352158697214e-07
2,1,13,5.873488222488258e-07
2,1,14,2.05691324818005e-06
2,1,15,3.6652193194194774e-06
2,1,16,4.9051589306747e-06
2,1,17,5.332023726950752e-06
2,1,18,5.029159440162172e-06
2,1,19,4.1776832117167585e-06
2,1,20,3.2690928979362227e-06
2,1,21,2.5953599493026348e-06
2,1,22,2.4445127929092423e-06
2,1,23,2.553289088457939e-06
2,1,24,2.500403062155422e-06
2,1,25,1.6520376694343074e-06
2,1,26,2.0935620482768355e-08
2,1,27,-1.9519524648610865e-06
2,1,28,-3.3542779919630355e-06
2,1,29,-3.869690829925288e-06
2,1,30,-3.701558362669249e-06
2,1,31,-3.6892448956174007e-06
2,1,32,-4.198283994614652e-06
2,1,33,-5.178852447761817e-06
2,1,34,-5.985296318670492e-06
2,1,35,-6.424759435743233e-06
2,1,36,-6.572286026930972e-06
2,2,0,1.4812288502693747e-05
2,2,1,1.211718426796137e-05
2,2,2,1.0910172730975562e-05
2,2,3,1.0890278079774647e-05
2,2,4,1.1466223975605872e-05
2,2,5,1.2248831809015298e-05
2,2,6,1.3275598955722135e-05
2,2,7,1.4399130519373421e-05
2,2,8,1.5210987702827714e-05
2,2,9,1.51583665213863e-05
2,2,10,1.4326973391446817e-05
2,2,11,1.3463273554027429e-05
2,2,12,1.3699240138929187e-05
2,2,13,1.5507702713947035e-05
2,2,14,1.8431594346096278e-05
2,2,15,2.1154407610623647e-05
2,2,16,2.2538949605657894e-05
2,2,17,2.2133863569835026e-05
2,2,18,2.0555383832087867e-05
2,2,19,1.881164090101258e-05
2,2,20,1.7883828234524697e-05
2,2,21,1.7997627123689307e-05
2,2,22,1.8788127916036213e-05
2,2,23,1.9340632131276754e-05
2,2,24,1.8952206583447103e-05
2,2,25,1.733902489293776e-05
2,2,26,1.5045239930715259e-05
2,2,27,1.2890203116688176e-05
2,2,28,1.1675781744357669e-05
2,2,29,1.14369826291145e-05
2,2,30,1.1699432972530764e-05
2,2,31,1.1626066580430663e-05
2,2,32,1.0885993995867578e-05
2,2,33,9.59420518228531e-06
2,2,34,8.36736447771809e-06
2,2,35,7.5025630602995e-06
2,2,36,6.966640025113e-06
3,0,0,1.5044029211350217e-05
3,0,1,1.5642885642858377e-05
3,0,2,1.55494216003369e-05
3,0,3,1.50089241705302e-05
3,0,4,1.4173507435970116e-05
3,0,5,1.3223565671664707e-05
3,0,6,1.211400394684082e-05
3,0,7,1.0841782366361949e-05
3,0,8,9.424475278511273e-06
3,0,9,8.262680908388358e-06
3,0,10,7.754006334873009e-06
3,0,11,8.087968428765883e-06
3,0,12,8.688384825609769e-06
3,0,13,8.716498398654137e-06
3,0,14,7.613933234776305e-06
3,0,15,5.944518577412046e-06
3,0,16,4.904899178984003e-06
3,0,17,5.537076222680712e-06
3,0,18,7.535158623300992e-06
3,0,19,9.60914417868136e-06
3,0,20,1.034480535007723e-05
3,0,21,9.630504207767607e-06
3,0,22,8.492820906345856e-06
3,0,23,8.331237164838046e-06
3,0,24,9.396465751662338e-06
3,0,25,1.0767849177155257e-05
3,0,26,1.0913401801012853e-05
3,0,27,9.209445989552078e-06
3,0,28,6.17941486893281e-06
3,0,29,3.330350277396481e-06
3,0,30,1.8564946280246727e-06
3,0,31,2.2184578814151004e-06
3,0,32,3.768056614477099e-06
3,0,33,5.566381961397929e-06
3,0,34,6.6887551925797774e-06
3,0,35,6.990396027077301e-06
3,0,36,6.823012619668804e-06
3,1,0,6.112317442006504e-06
3,1,1,6.300239422874366e-06
3,1,2,6.837418288363787e-06
3,1,3,7.4270000565629444e-06
3,1,4,7.648616997644184e-06
3,1,5,7.311034387188543e-06
3,1,6,6.536235111607015e-06
3,1,7,5.609094743612702e-06
3,1,8,4.777408028779111e-06
3,1,9,4.2271382601551815e-06
3,1,10,4.071829668385232e-06
3,1,11,4.305307148150088e-06
3,1,12,4.6982510657254755e-06
3,1,13,4.921574218892666e-06
3,1,14,4.830553442974439e-06
3,1,15,4.6703757802965225e-06
3,1,16,4.844233334886592e-06
3,1,17,5.446112926828494e-06
3,1,18,6.00211942431881e-06
3,1,19,5.843235790721859e-06
3,1,20,4.771644742667037e-06
3,1,21,3.3772041709490734e-06
3,1,22,2.564662319873084e-06
3,1,23,2.772290504636846e-06
3,1,24,3.588863236291158e-06
3,1,25,4.226136360776779e-06
3,1,26,4.284784945595598e-06
3,1,27,4.067745673315534e-06
3,1,28,4.098214110076823e-06
3,1,29,4.479213451656899e-06
3,1,30,4.7619720844706075e-06
3,1,31,4.4968467351976286e-06
3,1,32,3.7616341265953566e-06
3,1,33,3.1111733287375164e-06
3,1,34,2.966376676887298e-06
3,1,35,3.216232337485735e-06
3,1,36,3.418347165285194e-06
3,2,0,7.586219111810908e-06
3,2,1,1.180849885119682e-05
3,2,2,1.5832988955851476e-05
3,2,3,1.8619658935735504e-05
3,2,4,2.0164207972239072e-05
3,2,5,2.1257081560430396e-05
3,2,6,2.2206707548170644e-05
3,2,7,2.261175429382181e-05
3,2,8,2.1740875996513302e-05
3,2,9,1.978970715229894e-05
3,2,10,1.7843555808530085e-05
3,2,11,1.7226720485489372e-05
3,2,12,1.8078836998214375e-05
3,2,13,1.943381532183014e-05
3,2,14,1.994165388780316e-05
3,2,15,1.935117935959144e-05
3,2,16,1.8419418758443273e-05
3,2,17,1.8240289044887405e-05
3,2,18,1.8814910716413117e-05
3,2,19,1.918373046856344e-05
3,2,20,1.8053864456118855e-05
3,2,21,1.5261711314495073e-05
3,2,22,1.1735988111724897e-05
3,2,23,9.094506230216564e-06
3,2,24,8.226298209392251e-06
3,2,25,9.07997468745298e-06
3,2,26,1.0514654579557917e-05
3,2,27,1.1347846326246428e-05
3,2,28,1.0666356842882658e-05
3,2,29,8.620101417574678e-06
3,2,30,6.025604396857944e-06
3,2,31,4.283157677650938e-06
3,2,32,4.179642990929342e-06
3,2,33,5.660346589810722e-06
3,2,34,7.501412003787784e-06
3,2,35,8.597949764288211e-06
3,2,36,8.538128295084509e-06
4,0,0,-4.202439294070031e-06
4,0,1,-5.581654196657674e-06
4,0,2,-6.5126944779913035e-06
4,0,3,-7.624171962483553e-06
4,0,4,-9.464624740820372e-06
4,0,5,-1.191350037987903e-05
4,0,6,-1.4136143937873002e-05
4,0,7,-1.5176329405811864e-05
4,0,8,-1.4593574668743826e-05
4,0,9,-1.2744378372011754e-05
4,0,10,-1.0432406425865833e-05
4,0,11,-8.38615318334517e-06
4,0,12,-6.864905401448239e-06
4,0,13,-5.773941388361213e-06
4,0,14,-4.9828821662590964e-06
4,0,15,-4.651475752516287e-06
4,0,16,-5.114062227029348e-06
4,0,17,-6.575661343718488e-06
4,0,18,-8.765403020890845e-06
4,0,19,-1.0990807804840544e-05
4,0,20,-1.2451067053915067e-05
4,0,21,-1.275940613509202e-05
4,0,22,-1.2137246266189904e-05
4,0,23,-1.1282240470653255e-05
4,0,24,-1.0830993576250872e-05
4,0,25,-1.0940378141865179e-05
4,0,26,-1.1155656268578486e-05
4,0,27,-1.0843019279174792e-05
4,0,28,-9.693431783323089e-06
4,0,29,-8.123249547762788e-06
4,0,30,-7.007749186245711e-06
4,0,31,-7.107760135525987e-06
4,0,32,-8.433438904988599e-06
4,0,33,-1.0248633923687172e-05
4,0,34,-1.152258354412516e-05
4,0,35,-1.1708612320793601e-05
4,0,36,-1.097834918243213e-05
4,1,0,-2.7939637637030515e-06
4,1,1,-2.929798436527396e-06
4,1,2,-3.6256744891971266e-06
4,1,3,-5.201968529244415e-06
