level_0,level_1,level_2,signal
0,0,0,6.084643336808581e-07
0,0,1,1.1968733993940746e-06
0,0,2,7.635972110718071e-07
0,0,3,2.0921129673999334e-07
0,0,4,6.442897397901497e-07
0,0,5,2.454024470541059e-06
0,0,6,4.7585654810648845e-06
0,0,7,5.982763193989368e-06
0,0,8,5.095277886976902e-06
0,0,9,2.5799914895020083e-06
0,0,10,1.0606612635255023e-07
0,0,11,-8.041381199063824e-07
0,0,12,-5.278886384521023e-08
0,0,13,1.0819303658775851e-06
0,0,14,1.1822476329779828e-06
0,0,15,3.6682704354470315e-08
0,0,16,-1.2827990040181053e-06
0,0,17,-1.5632957234747998e-06
0,0,18,-7.106812623931561e-07
0,0,19,2.474206476597281e-07
0,0,20,2.9066248295040536e-07
0,0,21,-4.2143406690663655e-07
0,0,22,-6.69453912422189e-07
0,0,23,5.593581219404981e-07
0,0,24,2.8737813837178996e-06
0,0,25,4.700087517454661e-06
0,0,26,4.682711802817311e-06
0,0,27,3.0421352219876487e-06
0,0,28,1.4396401853328502e-06
0,0,29,1.5527381269203589e-06
0,0,30,3.606485242097418e-06
0,0,31,6.272747216619508e-06
0,0,32,7.861384918943194e-06
0,0,33,7.736200611134253e-06
0,0,34,6.605336337290127e-06
0,0,35,5.691108611466118e-06
0,0,36,5.567176859779124e-06
0,1,0,4.100203356918183e-06
0,1,1,5.5545898167169054e-06
0,1,2,7.169990674331644e-06
0,1,3,9.197815371132497e-06
0,1,4,1.1243681532702317e-05
0,1,5,1.2374570544802701e-05
0,1,6,1.1674028238546521e-05
0,1,7,9.142494081780224e-06
0,1,8,5.875312941735616e-06
0,1,9,3.5451329113888794e-06
0,1,10,3.2107768243853268e-06
0,1,11,4.6618858290279025e-06
0,1,12,6.503905121062398e-06
0,1,13,7.247324646177881e-06
0,1,14,6.253366975629581e-06
0,1,15,4.179360683769705e-06
0,1,16,2.3010651036207947e-06
0,1,17,1.6130856478674058e-06
0,1,18,2.0956837346017726e-06
0,1,19,3.0151225013467104e-06
0,1,20,3.5844940236787345e-06
0,1,21,3.7465161416393308e-06
0,1,22,4.051249258168961e-06
0,1,23,5.116222822675075e-06
0,1,24,6.794359170561419e-06
0,1,25,8.215860848039176e-06
0,1,26,8.350677796277071e-06
0,1,27,7.022173044835e-06
0,1,28,5.0942050470107044e-06
0,1,29,4.027723904064467e-06
0,1,30,4.72958570525364e-06
0,1,31,7.047656359162647e-06
0,1,32,9.839054983970595e-06
0,1,33,1.1941688895287942e-05
0,1,34,1.2770995280552582e-05
0,1,35,1.2586087001373422e-05
0,1,36,1.1916000398952517e-05
0,2,0,8.187099532858553e-07
0,2,1,2.1783397057242084e-06
0,2,2,2.6864071005676062e-06
0,2,3,2.7997881678599958e-06
0,2,4,3.3394925182749326e-06
0,2,5,4.452469941451697e-06
