level_0,level_1,level_2,epoch_signal
0,0,0,-1.1535785041817052e-05
0,0,1,-8.483488762970844e-06
0,0,2,-7.177471814062025e-06
0,0,3,-7.881337050210117e-06
0,0,4,-9.49803666627834e-06
0,0,5,-1.0589490715117984e-05
0,0,6,-1.0416651067013307e-05
0,0,7,-9.40398254358556e-06
0,0,8,-8.43351675773623e-06
0,0,9,-8.02705920388265e-06
0,0,10,-7.964678052752136e-06
0,0,11,-7.888567169399069e-06
0,0,12,-7.745914742289702e-06
0,0,13,-7.775569363179717e-06
0,0,14,-7.82414074655273e-06
0,0,15,-7.238693177531556e-06
0,0,16,-5.430657337434139e-06
0,0,17,-2.9168725157342475e-06
0,0,18,-1.3313391917223826e-06
0,0,19,-2.3494571346359454e-06
0,0,20,-6.006512283793832e-06
0,0,21,-1.0298335990890277e-05
0,0,22,-1.2275618974966836e-05
0,0,23,-1.0246849858853589e-05
0,0,24,-5.019132079026766e-06
0,1,0,-1.3895113286396311e-05
0,1,1,-1.3327798131615638e-05
0,1,2,-1.392581491760261e-05
0,1,3,-1.505732093091787e-05
0,1,4,-1.6114916310495378e-05
0,1,5,-1.6597401074188215e-05
0,1,6,-1.6725044655707395e-05
0,1,7,-1.691215609488496e-05
0,1,8,-1.7585970898042927e-05
0,1,9,-1.8318573984407987e-05
0,1,10,-1.8383965926844115e-05
0,1,11,-1.7186900624065107e-05
0,1,12,-1.534728239807907e-05
0,1,13,-1.4012483215611175e-05
0,1,14,-1.4114793367531794e-05
0,1,15,-1.5018727795965635e-05
0,1,16,-1.5332685371695983e-05
0,1,17,-1.3984188471219514e-05
0,1,18,-1.189105113992171e-05
0,1,19,-1.107354272010427e-05
0,1,20,-1.3163447343385922e-05
0,1,21,-1.717777948346405e-05
0,1,22,-2.0213036924515465e-05
0,1,23,-1.9241174154783396e-05
0,1,24,-1.4139579645109615e-05
0,2,0,-9.211012503249755e-06
0,2,1,-6.607228813893776e-06
0,2,2,-5.0678471625648005e-06
0,2,3,-5.381169547185964e-06
0,2,4,-6.759812195698725e-06
0,2,5,-7.892444527269444e-06
0,2,6,-8.076838396237616e-06
0,2,7,-8.169197948376802e-06
0,2,8,-9.20999677955168e-06
0,2,9,-1.1213297133252725e-05
0,2,10,-1.2504606461221073e-05
0,2,11,-1.1592210093955843e-05
0,2,12,-8.550021575577877e-06
0,2,13,-5.4235236246850125e-06
0,2,14,-3.977781002660743e-06
0,2,15,-4.231837073652439e-06
0,2,16,-4.272454743840988e-06
0,2,17,-2.7875363645498465e-06
0,2,18,-4.4183198700827704e-07
0,2,19,1.9638603427446354e-07
0,2,20,-2.4429739278509116e-06
0,2,21,-7.399952411324938e-06
0,2,22,-1.1278639599176339e-05
0,2,23,-1.13653289974623e-05
0,2,24,-7.503717754790077e-06
1,0,0,-1.4190768918071221e-05
1,0,1,-1.129663377022011e-05
1,0,2,-1.0554382036319105e-05
1,0,3,-1.1897206600155032e-05
1,0,4,-1.4045053312760638e-05
1,0,5,-1.580528792960998e-05
1,0,6,-1.7162594559696977e-05
1,0,7,-1.8811704929440538e-05
1,0,8,-2.110334348413487e-05
1,0,9,-2.3180454790952868e-05
1,0,10,-2.357780648371661e-05
1,0,11,-2.135814752358045e-05
1,0,12,-1.714291454924888e-05
1,0,13,-1.2652386983333331e-05
1,0,14,-9.58342221294041e-06
1,0,15,-8.381093482344871e-06
1,0,16,-8.32614617721954e-06
1,0,17,-8.262271271968576e-06
1,0,18,-7.727470917058674e-06
1,0,19,-7.035144622262858e-06
1,0,20,-6.902370035357698e-06
1,0,21,-7.59270926609947e-06
1,0,22,-8.824920355061743e-06
1,0,23,-9.903490865561973e-06
1,0,24,-1.0369302044537692e-05
1,1,0,-1.0631089548205426e-05
1,1,1,-7.894598210755335e-06
1,1,2,-6.594634131075949e-06
1,1,3,-7.049297815224867e-06
1,1,4,-8.65133201090741e-06
1,1,5,-1.0611248011495886e-05
1,1,6,-1.2807556968108666e-05
1,1,7,-1.5468051654741934e-05
1,1,8,-1.8638487659130057e-05
1,1,9,-2.1543604409971894e-05
1,1,10,-2.3055462568427804e-05
1,1,11,-2.2323135968456203e-05
1,1,12,-1.9606312272326082e-05
1,1,13,-1.6008556360506358e-05
1,1,14,-1.2972604793088207e-05
1,1,15,-1.1306955443845395e-05
1,1,16,-1.1055786472878029e-05
1,1,17,-1.1505118335207822e-05
1,1,18,-1.192426734211694e-05
1,1,19,-1.1808001175688595e-05
1,1,20,-1.1292529402468789e-05
1,1,21,-1.0797157462457676e-05
1,1,22,-1.0881172218684808e-05
1,1,23,-1.1590661770152473e-05
1,1,24,-1.2551804143776059e-05
1,2,0,2.2225638862569087e-06
1,2,1,3.0517087452601075e-06
1,2,2,3.2720913201137077e-06
1,2,3,3.25758269661695e-06
1,2,4,3.0651030558316486e-06
1,2,5,1.8572495086383929e-06
1,2,6,-7.814124845050737e-07
1,2,7,-4.415334908427072e-06
1,2,8,-7.465959899784398e-06
1,2,9,-8.8352296595589e-06
1,2,10,-8.377756728133285e-06
1,2,11,-7.172436123722211e-06
1,2,12,-5.951688669949786e-06
1,2,13,-4.825988143301391e-06
1,2,14,-3.0881074513632045e-06
1,2,15,-6.949824286371876e-07
1,2,16,1.8157134306863085e-06
1,2,17,3.386717849469264e-06
1,2,18,3.935108965809217e-06
1,2,19,4.014883657673502e-06
1,2,20,4.571141539503134e-06
1,2,21,5.399235750211189e-06
1,2,22,5.720382335969355e-06
1,2,23,4.609891471344291e-06
1,2,24,2.592412822627094e-06
2,0,0,-1.0339236332036349e-05
2,0,1,-8.405096139275968e-06
2,0,2,-7.4778102521272025e-06
2,0,3,-7.611994919639003e-06
2,0,4,-8.516004290437388e-06
2,0,5,-9.654698222386808e-06
2,0,6,-1.0897011978646916e-05
2,0,7,-1.2191666064380346e-05
2,0,8,-1.368918185497346e-05
2,0,9,-1.5171195490042795e-05
2,0,10,-1.6292126626404023e-05
2,0,11,-1.6311074675505227e-05
2,0,12,-1.476562778581869e-05
2,0,13,-1.1518541749610254e-05
2,0,14,-7.3459698981936244e-06
2,0,15,-3.3162421953723527e-06
2,0,16,-5.732546554938418e-07
2,0,17,5.809514364212266e-07
2,0,18,2.9841592539855487e-07
2,0,19,-8.27027191508035e-07
2,0,20,-2.5455836673307587e-06
2,0,21,-4.521101140265928e-06
2,0,22,-6.550865607395627e-06
2,0,23,-8.125721918196928e-06
2,0,24,-9.16510557559476e-06
2,1,0,-2.0320997585203458e-05
2,1,1,-1.93271017602958e-05
2,1,2,-1.8742542585712557e-05
2,1,3,-1.8285092937351654e-05
2,1,4,-1.8092198566976164e-05
2,1,5,-1.8030450424167516e-05
2,1,6,-1.8542827732567898e-05
2,1,7,-1.9426993383869426e-05
2,1,8,-2.0825995617281576e-05
2,1,9,-2.2414178572247598e-05
2,1,10,-2.442933655424917e-05
2,1,11,-2.6280861157452476e-05
2,1,12,-2.7364722744408583e-05
2,1,13,-2.6351024672963087e-05
2,1,14,-2.3178418977982083e-05
2,1,15,-1.8565362828826346e-05
2,1,16,-1.4769763440188217e-05
2,1,17,-1.3164876341482641e-05
2,1,18,-1.4334850343277307e-05
2,1,19,-1.68512345008736e-05
2,1,20,-1.9483302020684655e-05
2,1,21,-2.1008907373661653e-05
2,1,22,-2.184359505725793e-05
2,1,23,-2.2269772639327084e-05
2,1,24,-2.3093408143142727e-05
2,2,0,-1.0903830278628768e-05
2,2,1,-1.0431387064188896e-05
2,2,2,-8.770536936659914e-06
2,2,3,-6.099881738864916e-06
2,2,4,-3.4311219280566555e-06
2,2,5,-2.0387948401581654e-06
2,2,6,-2.766964321684957e-06
2,2,7,-5.348593265472437e-06
2,2,8,-8.838507478512933e-06
2,2,9,-1.222116570737087e-05
2,2,10,-1.5033393216351315e-05
2,2,11,-1.6968357047525895e-05
2,2,12,-1.755547590403595e-05
2,2,13,-1.6025877505460788e-05
2,2,14,-1.2211156899927657e-05
2,2,15,-7.096792356854934e-06
2,2,16,-2.781878943622636e-06
2,2,17,-1.0470604294414787e-06
2,2,18,-2.252765113470835e-06
2,2,19,-4.940165746065463e-06
2,2,20,-7.117666351965312e-06
2,2,21,-7.574742743695045e-06
2,2,22,-6.810925071104243e-06
2,2,23,-6.2037733201965426e-06
2,2,24,-6.891485202604683e-06
3,0,0,7.263571132176683e-06
3,0,1,3.1744858024565243e-06
3,0,2,-1.5080514683249156e-06
3,0,3,-4.432517810184773e-06
3,0,4,-4.9220871739121094e-06
3,0,5,-4.240978223137232e-06
3,0,6,-3.955916749704319e-06
3,0,7,-4.372418035598181e-06
3,0,8,-4.3069245935518224e-06
3,0,9,-2.607633762384895e-06
3,0,10,4.863779012965237e-07
3,0,11,3.27800048917812e-06
3,0,12,4.230414987715556e-06
3,0,13,3.3381362797554393e-06
3,0,14,2.257206358064712e-06
3,0,15,2.681552217777199e-06
3,0,16,4.878044346625645e-06
3,0,17,7.389245111940354e-06
3,0,18,8.464753899430912e-06
3,0,19,7.5273682553674e-06
3,0,20,5.651628173469612e-06
3,0,21,4.405510910310013e-06
3,0,22,4.540602889749822e-06
3,0,23,5.3144726617322874e-06
3,0,24,5.386451892492575e-06
3,1,0,9.59918193736757e-06
3,1,1,8.141693372993816e-06
3,1,2,6.2983178424398266e-06
3,1,3,5.272017448420895e-06
3,1,4,5.388180296249579e-06
3,1,5,5.96113904763779e-06
3,1,6,6.156571272066924e-06
3,1,7,5.729276830487352e-06
3,1,8,5.211405810208518e-06
3,1,9,5.150877481712064e-06
3,1,10,5.477769163687998e-06
3,1,11,5.381476956399744e-06
3,1,12,4.214221252410243e-06
3,1,13,2.2583132131332633e-06
3,1,14,8.714193557146559e-07
3,1,15,1.3304625297662804e-06
3,1,16,3.703489401848828e-06
3,1,17,6.492167546064294e-06
3,1,18,7.876459975748656e-06
3,1,19,7.220151126871273e-06
3,1,20,5.793827672210747e-06
3,1,21,5.588759169373797e-06
3,1,22,7.576833853944521e-06
3,1,23,1.0600208928439152e-05
3,1,24,1.237760898474766e-05
3,2,0,9.674479368647251e-06
3,2,1,1.030057116510266e-05
3,2,2,1.0734613329874175e-05
3,2,3,1.0949606966640529e-05
