level_0,level_1,level_2,epoch_signal
0,0,0,1.535371725508894e-05
0,0,1,1.487225840143499e-05
0,0,2,1.4024108740860351e-05
0,0,3,1.381327476912401e-05
0,0,4,1.4303020938624005e-05
0,0,5,1.4149134432790938e-05
0,0,6,1.15076605548361e-05
0,0,7,5.92850564965614e-06
0,0,8,-9.049714343082558e-07
0,0,9,-6.057268637270943e-06
0,0,10,-7.494888380093698e-06
0,0,11,-5.317244437826713e-06
0,0,12,-1.41109623938919e-06
0,0,13,2.357822303229623e-06
0,0,14,5.35342886697488e-06
0,0,15,8.13237287115116e-06
0,0,16,1.115484936486705e-05
0,0,17,1.3943154980047118e-05
0,0,18,1.519363308846776e-05
0,0,19,1.4088970993574273e-05
0,0,20,1.107024307327707e-05
0,0,21,7.712169577968038e-06
0,0,22,5.404845877413203e-06
0,0,23,4.494461312458273e-06
0,0,24,4.226270602196761e-06
0,1,0,8.971318445206706e-06
0,1,1,8.577284589164473e-06
0,1,2,7.682516412269567e-06
0,1,3,7.019274303278315e-06
0,1,4,6.828971629043617e-06
0,1,5,6.413344913268012e-06
0,1,6,4.6071524370596166e-06
0,1,7,1.1514377719005608e-06
0,1,8,-2.816454840417278e-06
0,1,9,-5.415278509393758e-06
0,1,10,-5.6375317329778395e-06
0,1,11,-3.99435417916129e-06
0,1,12,-1.9454746797006525e-06
0,1,13,-3.8724161308397606e-07
0,1,14,8.750198633936863e-07
0,1,15,2.573487692792716e-06
0,1,16,4.712608713099489e-06
0,1,17,6.336820027920528e-06
0,1,18,6.239135929919941e-06
0,1,19,4.285117456863521e-06
0,1,20,1.5437366758238398e-06
0,1,21,-4.702968523864397e-07
0,1,22,-1.1136639097878917e-06
0,1,23,-7.71322186335367e-07
0,1,24,-2.60647861314696e-07
0,2,0,3.619236721804167e-06
0,2,1,4.0405252240816156e-06
0,2,2,3.2167838550811083e-06
0,2,3,1.8196993822256938e-06
0,2,4,5.927826439002735e-07
0,2,5,-4.050562498709419e-07
0,2,6,-2.2149406834519938e-06
0,2,7,-5.526657778817716e-06
0,2,8,-9.89408086943933e-06
0,2,9,-1.3490022884998809e-05
0,2,10,-1.4778576080181835e-05
0,2,11,-1.3455328208194345e-05
0,2,12,-1.085428173413361e-05
0,2,13,-8.43773681321534e-06
0,2,14,-6.963449517651639e-06
0,2,15,-5.914311347532999e-06
0,2,16,-4.658326066712119e-06
0,2,17,-2.973831986967764e-06
0,2,18,-1.5967918681434072e-06
0,2,19,-1.1767762037200564e-06
0,2,20,-1.967655800615896e-06
0,2,21,-3.2391006726078782e-06
0,2,22,-4.18518217754356e-06
0,2,23,-4.174919075377941e-06
0,2,24,-3.5193905729663077e-06
1,0,0,-1.6848456904012995e-06
1,0,1,-7.711240983863691e-07
1,0,2,7.47677301887911e-08
1,0,3,1.0016354430361342e-06
1,0,4,1.1924417954441797e-06
1,0,5,3.919463780872769e-08
1,0,6,-2.2952688938000256e-06
1,0,7,-4.002248593290315e-06
1,0,8,-3.4366840339377e-06
1,0,9,-1.7393996617996196e-07
1,0,10,3.801806144373396e-06
1,0,11,6.051832769256386e-06
1,0,12,5.10547150374627e-06
1,0,13,2.1566829994618217e-06
1,0,14,-5.050116290241116e-07
1,0,15,-7.769262199227878e-07
1,0,16,1.2068305475374576e-06
1,0,17,4.032202619840615e-06
1,0,18,5.720828715975637e-06
1,0,19,5.867821251866537e-06
1,0,20,5.17983361066071e-06
1,0,21,5.393814797909963e-06
1,0,22,7.317195668188044e-06
1,0,23,1.0885019745128521e-05
1,0,24,1.4551967832102889e-05
1,1,0,7.789471535600296e-06
1,1,1,9.085735790777738e-06
1,1,2,9.480301519329494e-06
1,1,3,9.655163883681055e-06
1,1,4,9.985918007814033e-06
1,1,5,1.0144747799323837e-05
1,1,6,9.599408947248516e-06
1,1,7,8.551851478945112e-06
1,1,8,8.036917399001006e-06
1,1,9,9.08594897633901e-06
1,1,10,1.1499160781024555e-05
1,1,11,1.3710990810651192e-05
1,1,12,1.3927204625527627e-05
1,1,13,1.177636749429803e-05
