level_0,level_1,level_2,epoch_signal
0,0,0,3.1114582552419336e-05
0,0,1,3.5314701907369515e-05
0,0,2,3.888533450399092e-05
0,0,3,3.969218873891515e-05
0,0,4,3.816436858440739e-05
0,0,5,3.640886625046083e-05
0,0,6,3.655175150821732e-05
0,0,7,3.8221796263520355e-05
0,0,8,3.933902539259232e-05
0,0,9,3.7905903283035796e-05
0,0,10,3.464267698981131e-05
0,0,11,3.200623661940897e-05
0,0,12,3.211002961151345e-05
0,0,13,3.397362357338701e-05
0,0,14,3.486115071715638e-05
0,0,15,3.2662656062843734e-05
0,0,16,2.870994546390988e-05
0,0,17,2.619816553236045e-05
0,0,18,2.7495751101460318e-05
0,0,19,3.128778818119746e-05
0,0,20,3.430352422767913e-05
0,0,21,3.405682560513653e-05
0,0,22,3.156260401476329e-05
0,0,23,2.9493472978375443e-05
0,0,24,2.9719702876652813e-05
0,1,0,2.9346187221388322e-05
0,1,1,3.301105220166671e-05
0,1,2,3.6278748843315963e-05
0,1,3,3.708668574074932e-05
0,1,4,3.516414487979031e-05
0,1,5,3.2045139710160184e-05
0,1,6,2.9956977678753096e-05
0,1,7,2.967371300307978e-05
0,1,8,3.028707332871218e-05
0,1,9,3.023469225387561e-05
0,1,10,2.937798606701919e-05
0,1,11,2.8927287052233318e-05
0,1,12,3.011557900519041e-05
0,1,13,3.211191553975515e-05
0,1,14,3.265013268441159e-05
0,1,15,2.998836033960223e-05
0,1,16,2.530453822563645e-05
0,1,17,2.1835021068677615e-05
0,1,18,2.2309652163604674e-05
0,1,19,2.6093825388235226e-05
0,1,20,2.9889448059938067e-05
0,1,21,3.0424798477251798e-05
0,1,22,2.7549310881447948e-05
0,1,23,2.377856470919869e-05
0,1,24,2.1936149605064083e-05
0,2,0,2.717636566126891e-05
0,2,1,3.052970614607939e-05
0,2,2,3.31651715381469e-05
0,2,3,3.300200382064288e-05
0,2,4,3.020594057933897e-05
0,2,5,2.7136257671918828e-05
0,2,6,2.6311775246624274e-05
0,2,7,2.800458792883288e-05
0,2,8,3.016981108367161e-05
0,2,9,3.045900712008039e-05
0,2,10,2.8722931593253183e-05
0,2,11,2.698707725554074e-05
0,2,12,2.7317530882619775e-05
0,2,13,2.9318160232240853e-05
0,2,14,3.0422313010093757e-05
0,2,15,2.8342992722511177e-05
0,2,16,2.3679751382559553e-05
0,2,17,1.953240454897142e-05
0,2,18,1.8801669928549523e-05
0,2,19,2.141390609799185e-05
0,2,20,2.4548071453132795e-05
0,2,21,2.5268513503760295e-05
0,2,22,2.330766472539178e-05
0,2,23,2.0924597941146756e-05
0,2,24,2.0521469137951267e-05
1,0,0,1.985429510140672e-06
1,0,1,-7.307928280836764e-07
1,0,2,-5.098158802437167e-06
1,0,3,-8.299447777952219e-06
1,0,4,-8.901810493486902e-06
1,0,5,-7.332875357080255e-06
1,0,6,-6.13232196016903e-06
1,0,7,-6.7716356269979555e-06
1,0,8,-9.040426219251768e-06
1,0,9,-1.0564089619112603e-05
1,0,10,-9.92469955472759e-06
1,0,11,-7.219702927875561e-06
1,0,12,-4.703774972828476e-06
1,0,13,-3.727379645233111e-06
1,0,14,-4.371356109568567e-06
1,0,15,-4.7487927784497694e-06
1,0,16,-3.929753860925381e-06
1,0,17,-2.013344085741327e-06
1,0,18,-7.681503235156694e-07
1,0,19,-7.371318698252875e-07
1,0,20,-1.5215548273128242e-06
1,0,21,-1.3227469222982884e-06
1,0,22,1.262504970950323e-07
1,0,23,2.1768761468283067e-06
1,0,24,2.931190509138673e-06
1,1,0,1.0336454733398997e-06
1,1,1,-2.275920485125135e-06
1,1,2,-6.0551320522857005e-06
1,1,3,-7.668873263943913e-06
1,1,4,-7.0968767579645165e-06
1,1,5,-5.8016318644640115e-06
1,1,6,-6.289139221772762e-06
1,1,7,-8.679535078231766e-06
1,1,8,-1.1692473518969094e-05
1,1,9,-1.2800625890782113e-05
1,1,10,-1.1606049693140008e-05
1,1,11,-8.874596228817047e-06
1,1,12,-6.77229701155494e-06
1,1,13,-5.706105815523948e-06
1,1,14,-5.507170945047153e-06
1,1,15,-4.889628398915802e-06
1,1,16,-4.240333573283009e-06
1,1,17,-3.988365702157701e-06
1,1,18,-5.139251592665002e-06
1,1,19,-6.6199064426296405e-06
1,1,20,-7.401943840953614e-06
1,1,21,-6.193737591709755e-06
1,1,22,-4.223912100500979e-06
1,1,23,-2.8334029106394815e-06
1,1,24,-3.6773090507713556e-06
1,2,0,8.773659050118684e-06
1,2,1,4.8131788197307475e-06
1,2,2,1.2268326100642527e-06
1,2,3,1.0562282271214308e-06
1,2,4,4.449502078296647e-06
1,2,5,8.985645533558285e-06
1,2,6,1.1097079715741121e-05
1,2,7,9.652132719693818e-06
1,2,8,6.145225871190068e-06
1,2,9,3.81505166160951e-06
1,2,10,4.244554356357892e-06
