level_0,level_1,level_2,epoch_signal
0,0,0,-6.086493249059553e-06
0,0,1,-5.1723768453887e-06
0,0,2,-2.3542590848339207e-06
0,0,3,8.966868469463562e-07
0,0,4,2.0174277170131383e-06
0,0,5,-6.500909973065889e-07
0,0,6,-6.179507273595887e-06
0,0,7,-1.1495044044145105e-05
0,0,8,-1.374207224685061e-05
0,0,9,-1.2604045520224353e-05
0,0,10,-1.0382889167988882e-05
0,0,11,-9.8286496368315e-06
0,0,12,-1.1715459724606343e-05
0,0,13,-1.4453281107128127e-05
0,0,14,-1.5781579948966648e-05
0,0,15,-1.4794891687779001e-05
0,0,16,-1.2363803582564792e-05
0,0,17,-9.95843089472958e-06
0,0,18,-8.278786240807341e-06
0,0,19,-7.146066597743951e-06
0,0,20,-6.2877480586562e-06
0,0,21,-5.892358327892359e-06
0,0,22,-6.237099389353384e-06
0,0,23,-7.010402000431372e-06
0,0,24,-7.31750998956166e-06
0,1,0,-1.3500619589826009e-05
0,1,1,-1.3463066916828107e-05
0,1,2,-1.1904887101127012e-05
0,1,3,-9.413454385348845e-06
0,1,4,-7.854591357217599e-06
0,1,5,-8.783129436690424e-06
0,1,6,-1.2115344905849095e-05
0,1,7,-1.5769836553202366e-05
0,1,8,-1.75301657575021e-05
0,1,9,-1.6728343574938824e-05
0,1,10,-1.4911935654087893e-05
0,1,11,-1.4135043813065344e-05
0,1,12,-1.5321310139392464e-05
0,1,13,-1.747351515067391e-05
0,1,14,-1.906399585308873e-05
0,1,15,-1.9262498531676803e-05
0,1,16,-1.862988747710194e-05
0,1,17,-1.8015697692289165e-05
0,1,18,-1.782831849786741e-05
0,1,19,-1.76039308720854e-05
0,1,20,-1.697113355299284e-05
0,1,21,-1.5920604583555525e-05
0,1,22,-1.5020318320323797e-05
0,1,23,-1.4511146798895994e-05
0,1,24,-1.4312057678115479e-05
0,2,0,-5.001157734967789e-07
0,2,1,-1.0188447201405794e-06
0,2,2,-1.1058576256967818e-06
0,2,3,-2.0573495782697273e-07
0,2,4,1.1207057635707706e-06
0,2,5,1.1267506292467097e-06
0,2,6,-9.668129822241678e-07
0,2,7,-4.29832295633216e-06
0,2,8,-6.575756658764654e-06
0,2,9,-6.553757800590362e-06
0,2,10,-4.842611160112338e-06
0,2,11,-3.6931459003503747e-06
0,2,12,-4.422678532556496e-06
0,2,13,-6.6341476746800926e-06
0,2,14,-8.309721430256535e-06
0,2,15,-8.20440266981762e-06
0,2,16,-6.480699181501926e-06
0,2,17,-4.788570075521357e-06
0,2,18,-4.151215096511357e-06
0,2,19,-4.553719986332132e-06
0,2,20,-4.717084154694663e-06
0,2,21,-3.851652275539409e-06
0,2,22,-1.8520011784341358e-06
0,2,23,2.459516772702702e-07
0,2,24,1.6662812661710194e-06
1,0,0,3.2567375941274694e-06
1,0,1,7.468837904861574e-07
1,0,2,-1.205626922231196e-06
1,0,3,-1.5927102377599696e-06
1,0,4,-2.2658128156063655e-07
1,0,5,1.639684730311814e-06
1,0,6,2.2760558179387753e-06
1,0,7,9.270700640528191e-07
1,0,8,-1.1766247728499547e-06
1,0,9,-1.9375375193200073e-06
1,0,10,-2.528512406049364e-07
1,0,11,2.705174342119404e-06
1,0,12,4.6222009366193916e-06
1,0,13,4.056688036566607e-06
1,0,14,1.9056750090590675e-06
1,0,15,3.3728813880418673e-07
1,0,16,8.521164217755315e-07
1,0,17,2.882721534870606e-06
1,0,18,4.861631241194996e-06
1,0,19,5.869862521805613e-06
1,0,20,6.677414157277555e-06
1,0,21,8.501446554226003e-06
1,0,22,1.1470065681283407e-05
1,0,23,1.3924119619453243e-05
1,0,24,1.395052698041166e-05
1,1,0,7.072558324468258e-06
1,1,1,5.9449300328212596e-06
1,1,2,4.686000171910042e-06
1,1,3,4.079394481629423e-06
1,1,4,4.925872490917294e-06
1,1,5,6.8160015068073035e-06
1,1,6,8.386667593556158e-06
1,1,7,8.333515994796766e-06
1,1,8,6.915553343155283e-06
1,1,9,5.553489328111362e-06
1,1,10,5.6081834299079455e-06
1,1,11,6.81644461263261e-06
1,1,12,7.77529651476512e-06
1,1,13,7.205127729365641e-06
1,1,14,5.479547043957516e-06
1,1,15,4.0203235274648066e-06
1,1,16,4.093593513125084e-06
1,1,17,5.4675013321498595e-06
1,1,18,7.1727984664167964e-06
1,1,19,8.454076431472991e-06
1,1,20,9.692592865397673e-06
1,1,21,1.139071990712687e-05
1,1,22,1.3357501501422395e-05
1,1,23,1.4247239081147892e-05
1,1,24,1.3008003782600218e-05
1,2,0,-1.0831648230546964e-06
1,2,1,-2.4754010524311254e-06
1,2,2,-3.477032493690512e-06
1,2,3,-3.827487728548984e-06
1,2,4,-3.2398482772638757e-06
1,2,5,-1.8903392910681928e-06
1,2,6,-6.751652663860182e-07
1,2,7,-5.627938291771115e-07
1,2,8,-1.7281101721103884e-06
1,2,9,-3.31252345338033e-06
1,2,10,-4.309785136330464e-06
1,2,11,-4.512756344353874e-06
1,2,12,-4.615363719147461e-06
1,2,13,-5.249778119843871e-06
1,2,14,-6.125182062855839e-06
1,2,15,-6.225221388371234e-06
1,2,16,-4.961995438222704e-06
1,2,17,-2.899441503818206e-06
1,2,18,-1.276523217633945e-06
1,2,19,-7.787327492758388e-07
1,2,20,-1.0224574150487952e-06
1,2,21,-1.1915450336548688e-06
1,2,22,-1.1406362488634695e-06
1,2,23,-1.539648860876338e-06
1,2,24,-3.008646898973593e-06
2,0,0,-4.350657101241418e-06
2,0,1,-6.6369867533834525e-06
2,0,2,-9.058269050374909e-06
2,0,3,-1.071563617694208e-05
2,0,4,-1.0820951299402135e-05
2,0,5,-9.208062829989011e-06
2,0,6,-6.788023266576576e-06
2,0,7,-4.961974337945309e-06
2,0,8,-4.601016621912145e-06
2,0,9,-5.167323328952465e-06
2,0,10,-5.224314450602075e-06
2,0,11,-3.660696220301221e-06
2,0,12,-8.37517849251428e-07
2,0,13,1.7503949754231788e-06
2,0,14,2.7057073060225847e-06
2,0,15,2.0243109549176644e-06
2,0,16,8.505139830365996e-07
2,0,17,3.537708660552942e-07
2,0,18,4.912693002997513e-07
2,0,19,2.526019253660978e-07
2,0,20,-1.3224416049223536e-06
2,0,21,-4.027237506290711e-06
2,0,22,-6.745501842049908e-06
2,0,23,-8.320853645572119e-06
2,0,24,-8.577419921978113e-06
2,1,0,-1.4630981822587276e-05
2,1,1,-1.6715278865252117e-05
2,1,2,-1.9801702296200424e-05
2,1,3,-2.220667407876512e-05
2,1,4,-2.2417719053275417e-05
2,1,5,-1.9788807843924426e-05
2,1,6,-1.6016615211279913e-05
2,1,7,-1.3315974700316407e-05
